SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
GM/ES-001,Scotland,Eastern Scotland,Ben Macdui,1309,4295,NN 988989,,-3.6691,57.07037,10,3,01/07/2002,31/12/2099,34,06/11/2024,GM5ALX/P
GM/ES-002,Scotland,Eastern Scotland,Braeriach,1296,4252,NN 953999,,-3.72837,57.07831,10,3,01/07/2002,31/12/2099,17,31/08/2024,MM0VPM
GM/ES-003,Scotland,Eastern Scotland,Cairn Toul,1291,4236,NN 963972,,-3.71077,57.05441,10,3,01/07/2002,31/12/2099,11,31/08/2024,MM0VPM
GM/ES-004,Scotland,Eastern Scotland,Beinn a'Bhuird - North Top,1197,3927,NJ 092006,,-3.49937,57.08759,10,3,01/07/2002,31/12/2099,12,15/10/2024,GM5ALX/P
GM/ES-005,Scotland,Eastern Scotland,Beinn Mheadhoin,1183,3881,NJ 024016,,-3.61146,57.09585,10,3,01/07/2002,31/12/2099,18,13/11/2024,GM5ALX/P
GM/ES-006,Scotland,Eastern Scotland,Ben Avon - Leabaidh an Daimh Bhuidhe,1172,3845,NJ 131018,,-3.43444,57.09935,10,3,01/07/2002,31/12/2099,12,15/10/2024,GM5ALX/P
GM/ES-007,Scotland,Eastern Scotland,Beinn Bhrotain,1157,3796,NN 954922,,-3.7238,57.00987,10,3,01/07/2002,31/12/2099,12,01/09/2024,MM0EFI/P
GM/ES-008,Scotland,Eastern Scotland,Lochnagar - Cac Carn Beag,1156,3792,NO 243861,,-3.24526,56.96027,10,3,01/07/2002,31/12/2099,29,03/10/2024,GM5ALX/P
GM/ES-009,Scotland,Eastern Scotland,Sgor Gaoith,1118,3668,NN 903989,,-3.81086,57.06856,10,3,01/07/2002,31/12/2099,30,11/11/2024,MM0CBC/P
GM/ES-010,Scotland,Eastern Scotland,Bynack More,1090,3576,NJ 041063,,-3.58472,57.13822,8,3,01/07/2002,31/12/2099,20,27/08/2022,MM0EFI/P
GM/ES-011,Scotland,Eastern Scotland,Beinn a'Chaorainn,1083,3553,NJ 045013,,-3.57743,57.09327,8,3,01/07/2002,31/12/2099,8,13/11/2024,GM5ALX/P
GM/ES-012,Scotland,Eastern Scotland,Glas Maol,1068,3504,NO 166765,,-3.36824,56.87306,8,3,01/07/2002,31/12/2099,47,30/11/2024,MM7LEF
GM/ES-013,Scotland,Eastern Scotland,Carn a'Mhaim,1037,3402,NN 994951,,-3.65838,57.03687,8,3,01/07/2002,31/12/2099,15,06/11/2024,GM5ALX/P
GM/ES-014,Scotland,Eastern Scotland,Mount Keen,939,3081,NO 409869,,-2.97362,56.96975,6,3,01/07/2002,31/12/2099,26,22/01/2025,MM0EFI/P
GM/ES-015,Scotland,Eastern Scotland,Culardoch,900,2953,NO 193988,,-3.33187,57.07336,6,3,01/07/2002,31/12/2099,10,15/05/2024,GM5AIB/P
GM/ES-016,Scotland,Eastern Scotland,Ben Tirran,896,2940,NO 373746,,-3.02917,56.8587,4,3,01/07/2002,31/12/2099,19,08/11/2024,GM5ALX/P
GM/ES-017,Scotland,Eastern Scotland,Creag Mhor,895,2936,NJ 057047,,-3.55842,57.12426,4,3,01/07/2002,31/12/2099,12,27/08/2022,MM0EFI/P
GM/ES-018,Scotland,Eastern Scotland,Morven,872,2861,NJ 376039,,-3.03088,57.12264,4,3,01/07/2002,31/12/2099,24,25/10/2024,GM5OLD/P
GM/ES-019,Scotland,Eastern Scotland,Conachcraig,865,2838,NO 279865,,-3.18655,56.96428,4,3,01/07/2002,31/12/2099,17,03/10/2024,GM5ALX/P
GM/ES-021,Scotland,Eastern Scotland,Ben Rinnes,841,2759,NJ 254354,,-3.2415,57.40328,4,3,01/07/2002,31/12/2099,45,15/01/2025,GM5ALX/P
GM/ES-022,Scotland,Eastern Scotland,Creag nan Gabhar,834,2736,NO 154841,,-3.39101,56.94051,4,3,01/07/2002,31/12/2099,14,11/08/2024,MM0VPM
GM/ES-023,Scotland,Eastern Scotland,Brown Cow Hill,829,2720,NJ 221044,,-3.28823,57.12439,4,3,01/07/2002,31/12/2099,9,25/10/2024,GM5ALX/P
GM/ES-024,Scotland,Eastern Scotland,Geal Charn,821,2694,NJ 090126,,-3.50674,57.19601,4,3,01/07/2002,31/12/2099,7,11/08/2022,MM0EFI/P
GM/ES-025,Scotland,Eastern Scotland,Carn na Drochaide,818,2684,NO 127938,,-3.43916,57.02742,4,3,01/07/2002,31/12/2099,9,16/10/2021,GM5AIB/P
GM/ES-026,Scotland,Eastern Scotland,Sgor Mor,813,2667,NO 007914,,-3.63595,57.00329,4,3,01/07/2002,31/12/2099,7,02/08/2021,MM0EFI/P
GM/ES-027,Scotland,Eastern Scotland,Meall a'Bhuachaille,810,2657,NH 990115,,-3.6711,57.18354,4,3,01/07/2002,31/12/2099,30,08/11/2024,MM0CBC/P
GM/ES-028,Scotland,Eastern Scotland,Monamenach,807,2648,NO 176706,,-3.35155,56.82019,4,3,01/07/2002,31/12/2099,22,02/12/2024,GM5ALX/P
GM/ES-029,Scotland,Eastern Scotland,Carn Mor,804,2638,NJ 265183,,-3.21848,57.24988,4,3,01/07/2002,31/12/2099,12,16/06/2022,MM0EFI/P
GM/ES-030,Scotland,Eastern Scotland,Carn Ealasaid,792,2598,NJ 227117,,-3.27952,57.19025,4,3,01/07/2002,31/12/2099,15,08/09/2024,GM5ALX/P
GM/ES-031,Scotland,Eastern Scotland,Corryhabbie Hill,781,2562,NJ 280288,,-3.19641,57.34462,4,3,01/07/2002,31/12/2099,14,19/10/2021,MM0EFI/P
GM/ES-032,Scotland,Eastern Scotland,Mount Battock,778,2552,NO 549844,,-2.74196,56.94926,4,3,01/07/2002,31/12/2099,16,31/10/2024,GM5ALX/P
GM/ES-033,Scotland,Eastern Scotland,Cook's Cairn,755,2477,NJ 302278,,-3.16065,57.33566,4,3,01/07/2002,31/12/2099,13,19/10/2021,MM0EFI/P
GM/ES-034,Scotland,Eastern Scotland,Mona Gowan,749,2457,NJ 335058,,-3.09886,57.13856,4,3,01/07/2002,31/12/2099,22,29/11/2024,GM5ALX/P
GM/ES-035,Scotland,Eastern Scotland,Mount Blair,744,2441,NO 167629,,-3.3631,56.75087,4,3,01/07/2002,31/12/2099,35,05/12/2024,GM5ALX/P
GM/ES-036,Scotland,Eastern Scotland,Geallaig Hill,743,2438,NO 297981,,-3.15951,57.06928,4,3,01/07/2002,31/12/2099,28,01/11/2024,GM5ALX/P
GM/ES-037,Scotland,Eastern Scotland,Badandun Hill,740,2428,NO 207678,,-3.29917,56.79569,4,3,01/07/2002,31/12/2099,23,02/12/2024,GM5ALX/P
GM/ES-038,Scotland,Eastern Scotland,Creagan a'Chaise,722,2369,NJ 104241,,-3.48823,57.29911,4,3,01/07/2002,31/12/2099,14,19/04/2024,MM0NJH/P
GM/ES-039,Scotland,Eastern Scotland,The Buck,721,2365,NJ 412233,,-2.97705,57.29734,4,3,01/07/2002,31/12/2099,21,19/09/2024,GM5ALX/P
GM/ES-040,Scotland,Eastern Scotland,Cnap Chaochan Aitinn,715,2346,NJ 145099,,-3.4144,57.17253,4,3,01/07/2002,31/12/2099,7,04/12/2024,GM5ALX/P
GM/ES-041,Scotland,Eastern Scotland,Carn a'Ghille Chearr,710,2329,NJ 139298,,-3.43144,57.35104,4,3,01/07/2002,31/12/2099,12,24/06/2024,GM4JXP/P
GM/ES-042,Scotland,Eastern Scotland,Hunt Hill,705,2313,NO 380805,,-3.01978,56.91195,4,3,01/07/2002,31/12/2099,10,12/12/2024,GM5ALX/P
GM/ES-043,Scotland,Eastern Scotland,Mealna Letter (Duchray Hill),702,2303,NO 161672,,-3.37416,56.78926,4,3,01/07/2002,31/12/2099,21,02/12/2024,GM5ALX/P
GM/ES-044,Scotland,Eastern Scotland,Cat Law,671,2201,NO 318610,,-3.11498,56.7363,2,3,01/07/2002,31/12/2099,16,17/06/2023,GR5AIB/P
GM/ES-045,Scotland,Eastern Scotland,Hill of Wirren,678,2224,NO 522739,,-2.78401,56.85438,2,3,01/07/2002,31/12/2099,19,10/01/2025,GM5ALX/P
GM/ES-046,Scotland,Eastern Scotland,Creag Bhalg,668,2192,NO 091912,,-3.49688,57.00331,2,3,01/07/2002,31/12/2099,12,23/02/2024,MM7MWL/P
GM/ES-047,Scotland,Eastern Scotland,Pressendye,619,2031,NJ 490089,,-2.84425,57.16879,2,3,01/07/2002,31/12/2099,24,17/07/2024,GM5AIB/P
GM/ES-048,Scotland,Eastern Scotland,Corwharn,609,1998,NO 288651,,-3.16552,56.77205,2,3,01/07/2002,31/12/2099,12,05/12/2024,GM4OIG/P
GM/ES-049,Scotland,Eastern Scotland,Ladylea Hill,609,1998,NJ 343168,,-3.09004,57.23718,2,3,01/07/2002,31/12/2099,20,11/07/2024,MM7RTC/P
GM/ES-050,Scotland,Eastern Scotland,The Coyles of Muick,601,1972,NO 328910,,-3.10684,57.0056,2,3,01/07/2002,31/12/2099,15,18/12/2024,GM5ALX/P
GM/ES-051,Scotland,Eastern Scotland,Meikle Conval,571,1873,NJ 291371,,-3.18185,57.41891,2,3,01/07/2002,31/12/2099,26,15/01/2025,GM5ALX/P
GM/ES-052,Scotland,Eastern Scotland,Carn Daimh,570,1870,NJ 181249,,-3.36023,57.30795,2,3,01/07/2002,31/12/2099,15,13/05/2024,MM6BWA/P
GM/ES-053,Scotland,Eastern Scotland,Ben Newe,565,1854,NJ 381143,,-3.02528,57.21534,2,3,01/07/2002,31/12/2099,23,31/03/2024,MM7RVC
GM/ES-054,Scotland,Eastern Scotland,Tap o'Noth,563,1847,NJ 484293,,-2.85901,57.35152,2,3,01/07/2002,31/12/2099,23,24/12/2024,2M0WNA/P
GM/ES-055,Scotland,Eastern Scotland,Meall Alvie,560,1837,NO 203919,,-3.31294,57.01175,2,3,01/07/2002,31/12/2099,12,23/02/2024,MM0EFI/P
GM/ES-056,Scotland,Eastern Scotland,Crock,554,1818,NO 226632,,-3.26706,56.75444,2,3,01/07/2002,31/12/2099,14,06/12/2024,GM4OIG/P
GM/ES-057,Scotland,Eastern Scotland,Little Conval,553,1814,NJ 294392,,-3.1774,57.43807,2,3,01/07/2002,31/12/2099,19,15/01/2025,GM5ALX/P
GM/ES-058,Scotland,Eastern Scotland,Meall Mor,551,1808,NO 173602,,-3.35258,56.72652,2,3,01/07/2002,31/12/2099,25,02/12/2024,GM5ALX/P
GM/ES-059,Scotland,Eastern Scotland,Kerloch,534,1752,NO 696878,,-2.50091,56.98117,2,3,01/07/2002,31/12/2099,22,03/05/2024,GM5ALX/P
GM/ES-060,Scotland,Eastern Scotland,Coiliochbhar Hill,533,1749,NJ 503163,,-2.82401,57.23506,2,3,01/07/2002,31/12/2099,20,20/12/2024,GM5ALX/P
GM/ES-061,Scotland,Eastern Scotland,Bennachie - Oxen Craig,529,1736,NJ 662226,,-2.56109,57.29275,2,3,01/07/2002,31/12/2099,37,17/01/2025,GM5ALX/P
GM/ES-062,Scotland,Eastern Scotland,Lord Arthur's Hill,518,1699,NJ 513198,,-2.80841,57.26625,2,3,01/07/2002,31/12/2099,20,20/12/2024,GM5ALX/P
GM/ES-063,Scotland,Eastern Scotland,Hare Cairn,516,1693,NO 242623,,-3.2408,56.74656,2,3,01/07/2002,31/12/2099,17,06/12/2024,GM4OIG/P
GM/ES-064,Scotland,Eastern Scotland,Creigh Hill,498,1635,NO 270593,,-3.1931,56.72022,1,0,01/07/2002,31/12/2099,21,14/02/2023,GM4JXP/P
GM/ES-065,Scotland,Eastern Scotland,Benaquhallie,494,1621,NJ 606087,,-2.65245,57.16744,1,0,01/07/2002,31/12/2099,18,20/08/2024,MM0EFI/P
GM/ES-066,Scotland,Eastern Scotland,The Bochel,491,1612,NJ 232232,,-3.27511,57.29343,1,0,01/07/2002,31/12/2099,7,20/12/2022,MM0EFI/P
GM/ES-067,Scotland,Eastern Scotland,Creag Ghiubhais,486,1594,NO 312954,,-3.13478,57.04513,1,0,01/07/2002,31/12/2099,7,06/10/2022,MM0EFI/P
GM/ES-068,Scotland,Eastern Scotland,Craiglich,476,1562,NJ 533054,,-2.7731,57.13737,1,0,01/07/2002,31/12/2099,24,28/07/2024,GM5ALX/P
GM/ES-069,Scotland,Eastern Scotland,Ben Aigan,471,1545,NJ 309481,,-3.15404,57.51824,1,0,01/07/2002,31/12/2099,16,17/01/2025,2M0RVZ
GM/ES-070,Scotland,Eastern Scotland,Hill of Fare,471,1545,NJ 671029,,-2.54354,57.11613,1,0,01/07/2002,31/12/2099,23,15/09/2024,MM0RFN/P
GM/ES-071,Scotland,Eastern Scotland,Hill of Foudland,467,1532,NJ 603332,,-2.66175,57.38778,1,0,01/07/2002,31/12/2099,12,04/09/2024,GM5ALX/P
GM/ES-072,Scotland,Eastern Scotland,Cairn William,448,1470,NJ 656168,,-2.57128,57.24076,1,0,01/07/2002,31/12/2099,14,04/09/2024,GM5ALX/P
GM/ES-073,Scotland,Eastern Scotland,Knock Hill,430,1411,NJ 537551,,-2.77584,57.58404,1,0,01/07/2002,31/12/2099,14,07/11/2022,MM0EFI/P
GM/ES-074,Scotland,Eastern Scotland,Ord Ban,428,1404,NH 891085,,-3.83372,57.1542,1,0,01/07/2002,31/12/2099,26,07/11/2024,MM0CBC/P
GM/ES-075,Scotland,Eastern Scotland,Strathfinella Hill,414,1358,NO 693787,,-2.50554,56.89896,1,0,01/07/2002,31/12/2099,18,03/11/2024,2M0RVZ
GM/ES-076,Scotland,Eastern Scotland,Mile Hill,410,1345,NO 311571,,-3.1262,56.70091,1,0,01/07/2002,31/12/2099,14,31/03/2024,MM0FMF/P
GM/ES-077,Scotland,Eastern Scotland,Millstone Hill,409,1342,NJ 676202,,-2.5377,57.2718,1,0,01/07/2002,31/12/2099,23,15/09/2024,MM0RFN/P
GM/ES-078,Scotland,Eastern Scotland,Craigendarroch,402,1319,NO 365965,,-3.04758,57.05546,1,0,01/07/2002,31/12/2099,17,07/05/2024,MM6BWA/P
GM/ES-079,Scotland,Eastern Scotland,Hill of Tillymorgan,381,1249,NJ 652348,,-2.58015,57.40237,1,0,01/07/2002,31/12/2099,15,04/09/2024,GM5ALX/P
GM/ES-080,Scotland,Eastern Scotland,Cairn-mon-earn,378,1240,NO 782919,,-2.35962,57.01796,1,0,01/07/2002,31/12/2099,33,03/11/2024,GM5ALX/P
GM/ES-081,Scotland,Eastern Scotland,Knockan,372,1220,NJ 351464,,-3.08466,57.50385,1,0,01/07/2002,31/12/2099,14,15/01/2025,GM5ALX/P
GM/ES-082,Scotland,Eastern Scotland,Meikle Balloch Hill,366,1201,NJ 471495,,-2.88495,57.53267,1,0,01/07/2002,31/12/2099,8,31/10/2022,MM0EFI/P
GM/ES-083,Scotland,Eastern Scotland,Fourman Hill,344,1129,NJ 570458,,-2.71763,57.50046,1,0,01/07/2002,31/12/2099,11,26/10/2024,GM5ALX/P
GM/ES-084,Scotland,Eastern Scotland,Bin of Cullen,320,1050,NJ 479642,,-2.87344,57.66528,1,0,01/07/2002,31/12/2099,20,14/05/2024,MM6BWA/P
GM/ES-085,Scotland,Eastern Scotland,Hill of Garvock,277,909,NO 726691,,-2.44934,56.81336,1,0,01/07/2002,31/12/2099,23,18/08/2024,GM5ALX/P
GM/ES-086,Scotland,Eastern Scotland,Brimmond Hill,266,873,NJ 856091,,-2.23957,57.17303,1,0,01/07/2002,31/12/2099,30,31/08/2024,GM5ALX/P
GM/ES-087,Scotland,Eastern Scotland,Waughton Hill,234,768,NJ 963572,,-2.06261,57.60519,1,0,01/07/2002,31/12/2099,11,29/09/2024,GM5ALX/P
GM/ES-088,Scotland,Eastern Scotland,Creag an Dail Bheag,863,2831,NO 157981,,-3.39129,57.06672,4,3,01/12/2021,31/12/2099,4,15/05/2024,GM5AIB/P
